ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
203909_at	2.85e-02	4.32e-03	2.8669531	-2.472122	0.26034342	SLC9A6	solute carrier family 9 member A6
212944_at	2.86e-02	4.32e-03	2.8668089	-2.472519	0.2788144	SLC5A3	solute carrier family 5 member 3
205105_at	2.86e-02	4.33e-03	-2.8666464	-2.472967	-0.28038979	MAN2A1	mannosidase alpha class 2A member 1
204238_s_at	2.86e-02	4.33e-03	2.866438	-2.473541	0.4751883	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
204556_s_at	2.86e-02	4.33e-03	2.8663848	-2.473688	0.28539518	DZIP1	DAZ interacting zinc finger protein 1
41386_i_at	2.86e-02	4.33e-03	-2.8663287	-2.473843	-0.21964451	KDM6B	lysine demethylase 6B
218480_at	2.86e-02	4.34e-03	2.8658541	-2.47515	0.40698364	AGBL5	ATP/GTP binding protein like 5
214484_s_at	2.86e-02	4.34e-03	2.8654251	-2.476332	0.42489002	SIGMAR1	sigma non-opioid intracellular receptor 1
203008_x_at	2.87e-02	4.35e-03	2.8646943	-2.478345	0.16907326	TXNDC9	thioredoxin domain containing 9
202109_at	2.87e-02	4.36e-03	-2.8645038	-2.478869	-0.22231598	ARFIP2	ADP ribosylation factor interacting protein 2
204499_at	2.87e-02	4.36e-03	-2.8644987	-2.478883	-0.37183831	AGTPBP1	ATP/GTP binding protein 1
203820_s_at	2.87e-02	4.36e-03	2.864476	-2.478946	0.43476951	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
212375_at	2.87e-02	4.36e-03	-2.8644057	-2.47914	-0.19775466	EP400	E1A binding protein p400
200077_s_at	2.87e-02	4.37e-03	-2.8637601	-2.480917	-0.15149361	OAZ1	ornithine decarboxylase antizyme 1
203775_at	2.87e-02	4.37e-03	2.863567	-2.481449	0.22993679	SLC25A13	solute carrier family 25 member 13
222082_at	2.88e-02	4.37e-03	-2.8631157	-2.482691	-0.19395276	ZBTB7A	zinc finger and BTB domain containing 7A
205956_x_at	2.88e-02	4.38e-03	2.8625222	-2.484324	0.325228	PSMC3IP	PSMC3 interacting protein
201026_at	2.88e-02	4.39e-03	2.861977	-2.485825	0.1810771	EIF5B	eukaryotic translation initiation factor 5B
202271_at	2.89e-02	4.40e-03	-2.8609227	-2.488725	-0.17687904	FBXO28	F-box protein 28
201235_s_at	2.89e-02	4.41e-03	-2.8608643	-2.488886	-0.30671129	BTG2	BTG anti-proliferation factor 2
212117_at	2.91e-02	4.43e-03	2.8589109	-2.494256	0.17082397	RHOQ	ras homolog family member Q
203828_s_at	2.91e-02	4.43e-03	2.8588493	-2.494426	0.68729751	IL32	interleukin 32
221543_s_at	2.91e-02	4.43e-03	-2.8587647	-2.494658	-0.29574802	ERLIN2	ER lipid raft associated 2
